Model,Modality,AUROC (95% CI),AUPRC (95% CI),F1 Score,Brier Score,ECE,Sensitivity,Specificity,AUROC_raw,AUPRC_raw
Multimodal (Gated Fusion),Multimodal Fusion,"0.954 [0.911, 0.988]","0.839 [0.662, 0.957]",0.846,0.079,0.069,1.000,0.882,0.9539,0.8357
Multimodal (Gated + Calibrated),Multimodal Fusion,"0.954 [0.911, 0.988]","0.839 [0.662, 0.957]",0.846,0.079,0.069,1.000,0.882,0.9539,0.8357
XGBoost,Structured Tabular,"0.954 [0.909, 0.987]","0.842 [0.669, 0.954]",0.824,0.074,0.082,0.955,0.882,0.9532,0.8374
Logistic Regression,Structured Tabular,"0.946 [0.896, 0.988]","0.789 [0.591, 0.952]",0.773,0.093,0.115,0.773,0.926,0.9465,0.7869
SOFA Proxy Score,Clinical Score,"0.944 [0.901, 0.983]","0.774 [0.578, 0.915]",0.438,0.093,0.120,0.318,0.956,0.9432,0.7665
Multimodal (Cross-Attention),Multimodal Fusion,"0.941 [0.894, 0.982]","0.769 [0.574, 0.936]",0.846,0.075,0.063,1.000,0.882,0.9405,0.7579
SAPS II Proxy Score,Clinical Score,"0.934 [0.877, 0.977]","0.788 [0.609, 0.932]",0.444,0.101,0.200,0.364,0.912,0.9328,0.7832
Temporal GRU,Structured Temporal,"0.927 [0.874, 0.971]","0.722 [0.510, 0.897]",0.846,0.073,0.062,1.000,0.882,0.9271,0.7082
ClinicalBERT NLP,Text Only,"0.923 [0.867, 0.974]","0.711 [0.499, 0.917]",0.846,0.077,0.070,1.000,0.882,0.9238,0.6905
Multimodal (Intermediate Concat),Multimodal Fusion,"0.923 [0.868, 0.972]","0.700 [0.482, 0.890]",0.846,0.077,0.062,1.000,0.882,0.9225,0.6798
