Model,Modality,AUROC,AUROC_95CI,AUPRC,AUPRC_95CI,F1_Score,Brier_Score,ECE,Sensitivity,Specificity
Multimodal (Gated Fusion),Multimodal Fusion,0.9539,"0.954 [0.911, 0.988]",0.8357,"0.839 [0.662, 0.957]",0.8462,0.0793,0.0689,1.0,0.8824
Multimodal (Gated + Calibrated),Multimodal Fusion,0.9539,"0.954 [0.911, 0.988]",0.8357,"0.839 [0.662, 0.957]",0.8462,0.0793,0.0689,1.0,0.8824
XGBoost,Structured Tabular,0.9532,"0.954 [0.909, 0.987]",0.8374,"0.842 [0.669, 0.954]",0.8235,0.0745,0.0821,0.9545,0.8824
Logistic Regression,Structured Tabular,0.9465,"0.946 [0.896, 0.988]",0.7869,"0.789 [0.591, 0.952]",0.7727,0.0926,0.1149,0.7727,0.9265
SOFA Proxy Score,Clinical Score,0.9432,"0.944 [0.901, 0.983]",0.7665,"0.774 [0.578, 0.915]",0.4375,0.0934,0.1204,0.3182,0.9559
Multimodal (Cross-Attention),Multimodal Fusion,0.9405,"0.941 [0.894, 0.982]",0.7579,"0.769 [0.574, 0.936]",0.8462,0.0746,0.0627,1.0,0.8824
SAPS II Proxy Score,Clinical Score,0.9328,"0.934 [0.877, 0.977]",0.7832,"0.788 [0.609, 0.932]",0.4444,0.1009,0.2,0.3636,0.9118
Temporal GRU,Structured Temporal,0.9271,"0.927 [0.874, 0.971]",0.7082,"0.722 [0.510, 0.897]",0.8462,0.0733,0.0617,1.0,0.8824
ClinicalBERT NLP,Text Only,0.9238,"0.923 [0.867, 0.974]",0.6905,"0.711 [0.499, 0.917]",0.8462,0.0771,0.07,1.0,0.8824
Multimodal (Intermediate Concat),Multimodal Fusion,0.9225,"0.923 [0.868, 0.972]",0.6798,"0.700 [0.482, 0.890]",0.8462,0.0766,0.0616,1.0,0.8824
